"site","scale","spp","nbLL","pLL","nbZ","nbPar.k","nbPar.mu","kl","perm.nbLL","perm.pLL","perm.nbZ","perm.nbPar.k","perm.nbPar.mu","perm.kl"
"PASO",122.0703125,"RYPAFA",-389.990179832244,-390.42820842512,0.0753442307248562,9.13800995594209,0.01904296875,-1.90043650934722e-05,-387.653881701962,-387.655619702881,0.0366087986773443,146.116193961572,0.01904296875,-1.19395630269658e-06
"PASO",122.0703125,"RYPAKU",-1153.10084215593,-1155.68772124434,4.34925946745322,7.37667009249743,0.077880859375,-0.000342116625242441,-1138.17801107845,-1138.12347565902,2.53933306570812,100.000000000002,0.0778808602971039,-2.58226872989846e-05
"PASO",122.0703125,"SANDKO",-655.656055736206,-656.304907621167,0.437381423381824,10.4326809515775,0.036865234375,-5.99646486025544e-05,-650.7676593473,-650.759730176687,0.253375218529124,100,0.0368652343815868,-6.30240090431431e-06
"PASO",122.0703125,"SANTAP",-2514.72465746083,-2654.54905984724,237.22064382203,1.355974911125,0.239501953125,-0.00826181218543231,-2471.58199380325,-2472.06309893556,135.974524609788,29.4628084020301,0.239501953125,-0.000571276552104445
"PASO",122.0703125,"SANTCO",-105.305229486337,-105.415986292233,0.0019139878786489,8.23943661971831,0.00390625,-9.17731825699988e-07,-104.723151607604,-104.722839111673,0.000250187236095964,100,0.00390625000019539,-7.56927415515754e-08
"PASO",122.0703125,"SANTGR",-1002.40634270003,-1007.73541078498,2.85795089042001,4.44319072569,0.064208984375,-0.000393608295995375,-992.384997756628,-992.432928298143,1.63300556837374,50.7868056210505,0.064208984375,-3.55153076551437e-05
"PASO",122.0703125,"SANTLA",-1763.97047491887,-1799.08609333504,38.1997480821477,2.10453733095041,0.14111328125,-0.00301314566383499,-1745.1637808665,-1745.70890262347,22.3377753082351,21.7422975877717,0.14111328125,-0.000336333507717081
"PASO",122.0703125,"SANTOB",-349.77102737535,-350.552776395848,0.0627647051780971,6.24405776302807,0.0166015625,-2.12140793463955e-05,-347.36911938094,-347.3747225655,0.0257813291736531,76.5841584158419,0.0166015625,-1.73951667791284e-06
"PASO",122.0703125,"SANTRU",-963.554551624363,-964.347269374557,1.84154776862086,12.134264396855,0.061279296875,-0.000135009923693519,-956.729887885761,-956.722650388397,1.29001067589419,100,0.0612792971728999,-1.65537657332343e-05
"PASO",122.0703125,"SANTTO",-1201.41874847095,-1201.85368977753,4.17316817286153,19.0319317622615,0.0830078125,-0.000151212753827762,-1198.01590191081,-1198.10027180228,3.7127213519944,43.2445024226611,0.0830078125,-6.69318114736413e-05
"PASO",122.0703125,"SAPIBA",-99.1460141391074,-99.145739484257,0.000206087619892105,100,0.00366210937611798,-6.65597599347843e-08,-99.1460141391074,-99.145739484257,0.000206087619892105,100,0.00366210937611798,-6.65597599347843e-08
"PASO",122.0703125,"SAPIDI",-168.871128328029,-169.387485852464,0.00842223484807818,4.81360201511335,0.0068359375,-4.77209130857249e-06,-167.596683392679,-167.595726383236,0.00134561871828945,100,0.00683593750155181,-2.30435333371145e-07
"PASO",122.0703125,"SAPRSC",-1975.24429475127,-1993.61336576827,56.3704020898965,3.75028282675918,0.166015625,-0.00233696814086813,-1939.70329278388,-1939.70423368801,34.3876082885089,533.039816232786,0.166015625,-1.82492157866403e-05
"PASO",122.0703125,"SAR1GR",-780.355924033223,-780.380314097396,0.590250434849328,60.8105271341938,0.046630859375,-1.62393105004669e-05,-782.539637791697,-782.747437711528,0.704194442292449,20.8917410118062,0.046630859375,-4.71066046956382e-05
"PASO",122.0703125,"SAR1MO",-742.451357426205,-742.8486954572,0.617595387520137,14.4584837545126,0.04345703125,-5.93941024488576e-05,-738.293167429612,-738.284347265732,0.42685699163039,100,0.0434570318424428,-8.63934375091451e-06
"PASO",122.0703125,"SARADE",-1858.7716728537,-2038.28400435767,64.3685709513416,0.931251768261893,0.155029296875,-0.00631588668526891,-1851.2603308692,-1851.2554430551,27.0850506490482,100.000000000008,0.155029302692292,-8.66390954996488e-05
"PASO",122.0703125,"SARATH",-893.03842607066,-972.566536741412,2.76506518489548,0.887330631348675,0.05615234375,-0.00136868739941032,-898.511612948403,-898.566301918154,1.10057221014406,44.7264697502137,0.05615234375,-3.13601501032496e-05
"PASO",122.0703125,"SAURAN",-63.5226276822371,-67.2629281347961,0.000258230895855723,0.750916870415648,0.002197265625,-3.17884739452799e-06,-64.0849731806771,-64.0848743044481,4.44375411952214e-05,100,0.00219726562513596,-2.40327402578002e-08
"PASO",122.0703125,"SCA1SP",-5008.55575386839,-5196.3353009492,12806.656503927,1.86254219353998,0.783935546875,0.00382872308101846,-4785.55540522751,-4785.63352965898,23046.7602633826,108.574678380923,0.783935546875,-0.000270485921583409
"PASO",122.0703125,"SCA2LI",-577.615618438846,-578.545667363964,0.30961305306216,7.98245614035088,0.03125,-5.69113857961013e-05,-574.325703963104,-574.386784280605,0.194939187444333,31.7441860465115,0.03125,-1.44094016603967e-05
"PASO",122.0703125,"SCA2MA",-2102.24286965098,-2124.71437321648,77.511080474865,3.5353432931295,0.181884765625,-0.00282349464452962,-2059.09473375968,-2059.07385506784,46.9347038390735,100.000000000025,0.181884769851223,-0.000112331117209778
"PASO",122.0703125,"SCHOAC",-1586.04936763864,-1592.6833607534,18.3332183800656,5.53215924411778,0.121337890625,-0.00098340674165426,-1566.74519655183,-1566.74810448685,12.0300908285404,273.550403225807,0.121337890625,-2.09216310321608e-05
"PASO",122.0703125,"SCLEWA",-1101.79979451812,-1112.52033395646,4.71265695478358,3.22459689566058,0.07275390625,-0.000671221540799018,-1086.29719627485,-1086.29739561746,2.23341559812786,759.844333748487,0.07275390625,-3.00233197534229e-06
