"site","scale","llF","llST","perm.llF","perm.llST","llF.ci1","llF.ci2","llST.ci1","llST.ci2","perm.llF.ci1","perm.llF.ci2","perm.llST.ci1","perm.llST.ci2"
"BCI",31250,-933.522336014313,-1050.33208691454,-1028.93181157865,-1007.60136403763,-988.020594964321,-860.323693618386,-1214.21874049136,-932.752724311513,-1080.81733985126,-988.214921579146,-1065.02759098368,-963.571293684631
"BCI",62500,-1158.94097452301,-1345.10923290676,-1251.86516619127,-1222.48783566708,-1212.61188684538,-1084.15790548617,-1499.46194422871,-1237.04724530415,-1270.25132537017,-1234.83462510991,-1243.24999606439,-1202.68006724141
"BCI",125000,-1411.85316042388,-1646.49624720585,-1485.96570439228,-1447.58744074027,-1438.85214786347,-1386.97856926468,-1813.71579623979,-1503.87212901631,-1494.22694513091,-1478.47125003387,-1457.37226600765,-1436.11847584186
"BCI",250000,-1668.91669959857,-1911.05131066165,-1728.77595929436,-1673.29811780649,-1694.66497319152,-1643.16842600562,-1919.38196581335,-1902.72065550994,-1737.65350312705,-1719.89841546167,-1685.45232312542,-1661.14391248757
"BCI",5e+05,-1978.18768058121,-1496.77958114986,-1978.18768058121,-1496.77958114986,-1978.18768058121,-1978.18768058121,-1496.77958114986,-1496.77958114986,-1978.18768058121,-1978.18768058121,-1496.77958114986,-1496.77958114986
"PASO",30.517578125,-7.41080993658455,-8.83773463307595,-5.15397220223573,-5.64580809471406,-23.4324088907311,-0.00172749076540472,-30.5022241118562,-0.527504620856698,-15.7198940822527,-0.00130939262518481,-15.8346650532067,-0.305538753168167
"PASO",61.03515625,-17.0907720572904,-18.4492529133573,-11.4147216962847,-11.9873528512264,-31.9180765342917,-5.69602537178003,-35.587080517222,-6.33388616165568,-26.7155467135127,-2.91635611333577,-28.2694482408892,-3.49017265698248
"PASO",122.0703125,-45.0180701394332,-47.1592193498887,-38.2522730198832,-38.6683733018323,-76.0926267271115,-25.5737385061636,-78.1601066163439,-26.1489234367727,-69.5864485596229,-16.8360913330845,-69.9865119207149,-17.5647658529071
"PASO",244.140625,-98.3498778608555,-102.898439163063,-92.6307121555596,-92.9774523220431,-155.899128985995,-60.4228348166103,-165.839198957372,-61.0489435133082,-154.313147364832,-46.9144130888198,-154.954028078078,-48.2434287103917
"PASO",488.28125,-204.411878310435,-210.046460061189,-209.721140540194,-209.320910218461,-253.158082677666,-135.055064154839,-267.87416743896,-136.221112722795,-280.978485076875,-131.681714475475,-278.188633234214,-132.567230942296
"PASO",976.5625,-377.451959401828,-392.600421806521,-419.435241063979,-417.244546062399,-462.548514364481,-308.461496414368,-495.076562344599,-311.467008830197,-560.566739400649,-319.798606524072,-558.16432939482,-317.642246362278
"PASO",1953.125,-632.4268938447,-656.087218534975,-724.596695928391,-721.386639618844,-743.55002139857,-536.310093288017,-792.767774523312,-541.559532351539,-872.90824955873,-573.392241223701,-869.398419753663,-569.960182118201
"PASO",3906.25,-998.950872336229,-1028.83676838597,-1154.91615156568,-1148.56983177222,-1110.07956296252,-845.569360999658,-1158.46574003979,-855.068499504138,-1349.53458504006,-988.821005442794,-1339.38322334558,-985.12545297696
"PASO",7812.5,-1448.36961905929,-1491.61226126656,-1663.7876917614,-1651.92311569517,-1592.76964341767,-1277.88057796995,-1732.83858563622,-1332.74845578244,-1890.62154964196,-1481.75531720333,-1874.54640833824,-1478.08006152447
"PASO",15625,-1984.47759296685,-2053.50376008599,-2232.10721403403,-2209.54986208229,-2152.52318357373,-1808.83982887887,-2376.3592235263,-1863.21588544155,-2449.94698410017,-2060.95418899291,-2422.19966031268,-2050.30392105159
"PASO",31250,-2600.56553770486,-2684.94303324041,-2861.59132242807,-2827.10786162113,-2762.5299135177,-2439.87982815087,-2903.15552401057,-2478.66157286637,-3012.15932251067,-2700.08741455044,-2973.49366276749,-2670.22699695744
"PASO",62500,-3268.36750958248,-3378.49868945114,-3514.39144281797,-3460.73266298739,-3455.62632178169,-3060.38561383481,-3742.48866131797,-3227.63109700122,-3656.65272588876,-3389.84068965431,-3590.9038856135,-3334.241405238
"PASO",125000,-3986.806013426,-4162.7530465994,-4177.25797394849,-4095.09212439178,-4189.03364076984,-3840.23685552462,-4502.92729202367,-3968.98940750317,-4262.12925311073,-4085.60730727702,-4179.86390407833,-4002.60456656826
