"site","scale","llF","llST","perm.llF","perm.llST"
"BCI",15625,-671.478240336091,-713.297760989567,-812.677263985882,-799.32884125179
"BCI",15625,-762.162347404458,-827.757417538606,-832.892617483988,-818.246641157248
"BCI",15625,-681.959429709877,-767.497055605673,-783.13697966232,-768.17897170723
"BCI",15625,-640.445936862133,-687.487286091246,-829.809745715686,-814.080281764681
"BCI",15625,-692.662020274111,-741.404226187768,-766.426664592058,-758.192328326116
"BCI",15625,-765.185706078603,-840.486170229966,-862.584836705095,-840.502007188679
"BCI",15625,-730.568356645527,-769.649938779817,-796.519740424123,-787.29201866955
"BCI",15625,-776.392738251027,-954.610655722896,-854.870960512156,-837.96982729607
"BCI",15625,-710.947394936407,-717.97877229071,-803.20693400402,-787.010060872566
"BCI",15625,-719.918978179293,-951.266757323753,-836.271607866105,-824.256647197113
"BCI",15625,-725.243922245698,-741.255830398349,-811.84457057875,-799.904480683799
"BCI",15625,-759.272311505324,-884.427830229768,-831.253334976229,-813.081427343603
"BCI",15625,-724.174429162488,-726.560171918028,-830.380013550352,-813.33146213045
"BCI",15625,-743.407222627687,-764.084464103136,-771.543754562565,-756.883928132236
"BCI",15625,-757.183248488081,-819.528790883821,-797.083184114499,-778.534619829227
"BCI",15625,-728.068784581633,-745.46725748845,-805.860891436759,-791.862009059237
"BCI",7812.5,-571.17331816238,-597.499860669826,-607.291330456043,-597.912853026688
"BCI",7812.5,-552.549766516151,-674.215129137706,-638.911215954148,-631.089278592433
"BCI",7812.5,-530.089574296287,-688.686229330245,-622.542571423917,-612.607813224182
"BCI",7812.5,-586.877851412604,-582.148013723151,-644.001481873619,-632.611275459166
"BCI",7812.5,-533.554736461712,-546.971265806688,-639.365069844277,-628.828553646394
"BCI",7812.5,-548.521347070871,-567.165896563081,-639.448811930468,-627.880843305273
"BCI",7812.5,-591.615173754441,-600.854860944582,-660.885233245764,-649.202270508354
"BCI",7812.5,-522.131597444934,-553.216103798215,-606.666127432798,-596.458186962812
"BCI",7812.5,-515.487540571607,-549.326661869191,-627.509608597366,-616.875258917294
"BCI",7812.5,-578.671750129317,-620.664000868235,-666.754212367471,-654.41470038654
"BCI",7812.5,-562.483752774439,-620.688444567703,-639.120290862668,-624.868954615434
"BCI",7812.5,-582.705420124682,-572.501558417328,-621.211562599099,-610.072670671883
"BCI",7812.5,-462.528623535115,-478.933626591018,-618.016011274297,-606.962991108199
"BCI",7812.5,-487.16194176841,-501.2073505427,-591.778389383891,-580.682906843589
